id,original_language,title,story,is_story_detailed,budget,revenue,profit,is_good,url
862,en,Toy Story,"A group of toys, who are sentient when humans aren't around, are preparing to move into a new house with their owner Andy Davis, his sister Molly and their single mother. The toys become uneasy when Andy has his birthday party a week early. Sheriff Woody, Andy's favorite toy and their de facto leader, sends Sarge and his green army men to spy on the gift opening with a baby monitor. The other toys (which include Mr. Potato Head, Slinky Dog, Rex the tyrannosaur, Hamm the piggy bank, and Bo Peep the porcelain doll) are relieved when Andy receives nothing that could replace them. However, Andy receives a last-minute surprise gift – a Buzz Lightyear action figure who believes he is an actual Space Ranger. Buzz impresses the other toys with his various features and becomes Andy's new favorite toy, making Woody jealous.

Two days before the move, Andy's family plans for a dinner at Pizza Planet, where Andy is allowed to bring along only one toy; to ensure Andy chooses him and not Buzz, Woody tries using the radio-controlled car RC to knock Buzz behind the desk, but accidentally knocks him out the open bedroom window instead. Most of the other toys believe Woody deliberately tried to kill Buzz out of jealousy, but Andy arrives and takes Woody before they can exact revenge. A furious Buzz stows away in the car, and confronts Woody when the car stops at a gas station on the way to Pizza Planet. The two fight, fall out of the car, and are left behind.

After a further argument, the two hitch a ride on a Pizza Planet delivery truck and sneak into the restaurant. Buzz mistakenly believes a claw crane full of Little Green Men to be a true rocket, and Woody climbs in after him. Andy's sadistic next-door neighbor Sid, who destroys toys for fun, spots and captures the two and takes them to his house, where they encounter his Bull Terrier Scud and his much-abused ""mutant"" toys made from parts of other toys he has destroyed.

As Woody tries to find an escape route, Buzz is shocked by a TV commercial that reveals he is indeed a toy. He attempts to fly, but falls, breaks his arm off and has a mental breakdown. After Sid's toys fix Buzz, Sid returns and tapes Buzz to a rocket, planning to blow him up, but a thunderstorm forces him to delay the launch until the next morning. Overnight, Woody helps Buzz realize that his purpose is making Andy happy, restoring Buzz's resolve. Sid takes Buzz out to launch him, but Woody rallies the mutant toys to frighten Sid into never harming toys again, freeing Buzz.

Woody and Buzz pursue Andy's moving truck, but Scud sees them and gives chase, biting Woody. Buzz fights off Scud, while Woody, freed, climbs into the truck and pushes RC out, using him to distract Scud and rescue Buzz. The other toys, thinking Woody is now trying to get rid of RC as well, toss Woody back into the street. Having escaped Scud, Buzz and Woody pursue the truck on RC, and the other toys spot them coming and realize their error. During the chase, RC's batteries run out, forcing Woody to ignite the rocket still strapped to Buzz. As they launch towards the truck, they become airborne, and Woody drops RC into the truck. Buzz opens his wings to sever the tape just before the rocket explodes; he and Woody glide over the truck and fall through the sunroof of Andy's car, landing safely beside Andy.

At Christmas, in the new house, Sarge and his men spy on the gift opening again while the other toys wait. Mr. Potato Head is delighted when Molly gets a Mrs. Potato Head, and Woody and Buzz jokingly ponder what gift could be ""worse"" than Buzz, only to nervously smile at each other when Andy gets a dachshund puppy named Buster.
",True,30000000,394400000,364400000,True,https://en.wikipedia.org/wiki/Toy_Story_(film)
8844,en,Jumanji,"In 1969, Alan Parrish lives with his parents, Sam and Carol, in Brantford, New Hampshire. One day, he escapes a group of bullies and retreats to Sam's shoe factory. He meets his friend, Carl Bentley, who reveals a new shoe prototype he made himself. Alan misplaces the shoe and damages a conveyor belt, but Carl takes responsibility and loses his job. After the bullies attack Alan and steal his bicycle, Alan follows the sound of tribal drumbeats to a construction site. He finds a board game called Jumanji, which was buried a century earlier, and brings it home.

That night, after arguing with Sam about attending a boarding school, Alan plans to run away, but his friend, Sarah Whittle, returns his bicycle. Alan shows her Jumanji and invites her to play. With each dice roll, the game piece moves by itself, and a cryptic message describing the roll's outcome appears in the crystal ball at the centre of the board. After Alan inadvertently rolls a five, a message tells him to wait in a jungle until someone rolls a five or eight, and he is sucked into the game. Shortly after, a swarm of bats appears and chases Sarah out of the mansion.

Twenty-six years later, Judy and Peter Shepherd move into the now-vacant Parrish mansion with their aunt Nora after their parents died in an accident on a ski trip in Canada the winter before. Discovering Jumanji in the attic, Judy and Peter begin playing it. Their rolls summon giant mosquitoes and swarms of monkeys. The game rules state everything will be restored when the game ends, so they continue playing. Peter then rolls a five, which releases a lion and a grown-up Alan. As Alan makes his way out, he meets Carl, who is now working as a police officer. Alan, Judy, and Peter go to the now-abandoned shoe factory and learn that Sam abandoned the business to search for his son after his disappearance until his death in 1991. Eventually, the factory closed, sending Brantford into economic decline.

Realizing they need Sarah to finish the game, the three locate Sarah, now haunted by both Jumanji and Alan's disappearance, and persuade her to join them. Sarah's first move releases fast-growing carnivorous vines, and Alan's next move releases a big-game hunter named Van Pelt, whom Alan first met in the game's inner world. The next roll summons a stampede of various animals, and a pelican steals the game. Peter retrieves it, but Carl arrests Alan. Back in town, the stampede wreaks havoc, and Van Pelt steals the game.

Peter, Sarah, and Judy track Van Pelt to a discount store, where they set booby traps to subdue him and retrieve the game, while Alan, after revealing his identity to Carl, is set free. When the four return to the mansion, it is now completely overrun by jungle wildlife. They release one calamity after another until Van Pelt arrives. When Alan drops the dice, he wins the game, which causes everything that happened as a result of the game to be reversed.

Alan and Sarah return to 1969, just in time for Alan to reconcile with Sam, who tells him he does not have to attend boarding school. Alan also admits his responsibility for damaging the conveyor belt, and Carl is rehired. After realizing that they have memories of the game, Alan and Sarah throw Jumanji into a river, then share a kiss.

In an alternate version of the present, Alan and Sarah are married and expecting their first child. Alan's parents are still alive, and Alan is now successfully running the family business. Alan and Sarah meet Judy, Peter, and their parents, Jim and Martha, for the first time during a Christmas party. Alan offers Jim a job and convinces them to cancel their upcoming ski trip, averting their deaths.

Meanwhile, two young girls hear drumbeats while walking on a beach. Jumanji is seen lying partially buried in the sand.
",True,65000000,262800000,197800000,True,https://en.wikipedia.org/wiki/Jumanji_(1995_film)
15602,en,Grumpier Old Men,"The feud between Max and John has cooled and they have become good friends. Their children, Melanie and Jacob have become engaged. Meanwhile, John is enjoying his marriage to new wife Ariel. John and Max still call each other ""moron"" and ""putz"" respectively, but with friendly intentions.

The spring and summer fishing season is in full swing with the annual quest to catch ""Catfish Hunter,"" an unusually large catfish that seems to enjoy eluding anyone that tries to catch it. However, the local bait shop closed after Chuck, the previous owner, died in the first movie. Maria Ragetti has purchased the property with the intent of converting it into a fancy Italian restaurant.

Irritated it will no longer be a bait shop, Max and John join forces to sabotage the restaurant. They are successful at first with their practical jokes. However, when Ariel learns what is going on, she tells John to apologize to Maria at once, and he does after Ariel kicks him out of the house. Max and Maria begin dating after discovering a shared passion for fishing, while her mother Francesca dates John's father, J.W.

To complicate things further, Jacob and Melanie call off their engagement due to stress from their parents' involvement. Upon hearing the news, John and Max reignite their feud and go back to their childish pranks again such as John cutting a hole in Max's fishing net and detaching the anchor to his boat. Max retaliates by disconnecting John's motor from his boat and broadcasting him nude (while Ariel was making a clay statue of him) at a Sears department store. Ariel is stressed out because of it and leaves John until things settle down. At the restaurant, Francesca is worried about all the time Maria spends with Max. She reminds her daughter of her five failed marriages and worries that Max will make it six.

After being convinced to take a long look at herself, Maria reluctantly stops seeing Max. Distraught over losing Ariel, John heads to the lake for his father's advice but finds that he has died in his favorite spot with a fishing pole in one hand and a can of beer in the other. Following the funeral and the spreading of J.W.'s ashes in the lake, John and Max call off their feud again.

After realizing that their own inability to properly plan a wedding is what drove their kids to call it off, they decide to set it right. They help Jacob and Melanie reconcile, explaining their drama. John decides to reconcile with Ariel and convinces Max to talk to Maria. He does and convinces her to take a chance on him, while convincing her mother that he's not going to be like her previous sons-in-law. John and Max manage to catch ""Catfish Hunter"" but they reluctantly decide to release it so it can be with J.W. in the lake. After they let it go, they realize that they're late for a wedding happening in town and rush to the church as quickly as they can. The wedding is revealed to be for Max and Maria, who have reconciled (Jacob and Melanie have eloped). On the way to their honeymoon, they discover Max's one-eyed bulldog, Lucky, in the car with them, being put there by John earlier as a prank. Ragetti's is also reformed so it will be both a restaurant and a bait shop.
",True,25000000,71500000,46500000,True,https://en.wikipedia.org/wiki/Grumpier_Old_Men
31357,en,Waiting to Exhale,"Four friends (Savannah, Robin, Bernadine, and Gloria) get together frequently to support one another and listen to each other vent about life and love. They each want to be in a romantic relationship, but they each have difficulties finding a good man.

Successful television producer Savannah ""Vannah"" Jackson believes that one day her married lover will leave his wife for her. She later realizes that he won't, and that she must find her own man who will love her for who she really is.

Bernadine ""Bernie"" Harris, who abandoned her career and dreams of having a catering business, instead raised a family and supported her husband John in building his business. He announces he is leaving her for a white woman with whom he works, sending her into an emotional tailspin that culminates in the two fighting over their assets after she burns his car, clothes and some of his other belongings, and then sells the rest of his things for a dollar each, and he retaliates by draining their bank accounts.

Robin Stokes is a high-powered executive and the long-time mistress of married Russell. After dumping him, she has problems finding someone suitable.

Beauty salon owner Gloria ""Glo"" Matthews is a single mother. Her ex-husband and the father of her son tells her that he was always bisexual and now realizes he is gay. Gloria eventually falls in love with a new neighbor, Marvin King.

The situations all resolve themselves for the better. Savannah ends up permanently dumping her married lover. Bernadine gets a large divorce settlement from her ex-husband and finds love with a widowed civil rights attorney who encourages her to pursue her catering dream. Robin ends up pregnant by her married lover, but dumps him, and chooses to raise the baby on her own.
Gloria apologizes to her neighbor for snapping at him when he suggested that she should let her son grow up and experience the world. She learns not to be so protective of her son and lets him go on an ""Up with People"" trip to Spain. She finds love while learning to take care of herself rather than being self-sacrificing in her devotion to her son and her business.
",True,16000000,82000000,66000000,True,https://en.wikipedia.org/wiki/Waiting_to_Exhale
11862,en,Father of the Bride Part II,"The film begins four years after the events of the first one, with George Banks telling the audience he is ready for the empty nest he will soon receive with all of his children grown up. Shortly thereafter, Annie tells the family that she is pregnant. George begins to mildly panic, insisting he is too young to be a grandfather. He has his assistant make a list of people who are older than him, dyes his hair brown, and after the roof leaks, decides he and Nina should sell the home their children have grown up in if one more thing goes wrong with it.

Termites strike the house two weeks later. George sells the house to the Habibs without telling Nina. At dinner, after a discussion on whether the baby's last name will be hyphenated or not, George changes the subject by revealing the house has been sold. Nina is livid, as she and George have to be out in ten days and have no place to go. The Bankses stay at the mansion owned by Bryan's parents. As the MacKenzies are on a cruise in the Caribbean, the Bankses have to deal with their vicious Dobermans, much to the chagrin of George, who is still paranoid from a previous mishap with them. Nina begins experiencing symptoms that bring up the concern of menopause. After visiting the doctor the following day, they are given the opposite news: Nina is pregnant, too.

Following the unexpected news of Nina's pregnancy, they have a chance meeting with Franck, Annie's former wedding planner, who is elated at both women expecting. As they are driving home, Nina and George have differing perspectives on the prospect of becoming new parents again. Both express how strange it will be, but begin to welcome the change. George has switched gears, now believing he is too old to be a father again. His feelings come to a head when he and Nina go to Annie's and Bryan's house to announce their news. Nina brings his insensitivity to light and tells him not to come home.

Out for a walk, George notices that the street to their old house is blocked off and sees a demolition crew with a wrecking ball at the house, inferring that Mr. Habib plans to demolish it. An upset and shocked George runs in and tries to stop them as the wrecking ball is about to slam into the house. He pleads with Mr. Habib not to tear down the house since he is going to be a father again, as there is great sentimental value to it. He realizes that if he is going to have another child, he wants to raise it in the house in which his family grew up. When George offers to buy the house back, Habib agrees on the condition that George pay him $100,000 up front. Although reluctant to pay that money, he gives in. The Bankses then move back into their house. As a way to further apologize to Nina, George reluctantly hires Franck to do a double baby shower. A few weeks before the baby is due Bryan is called away to an emergency meeting in Japan, leaving Annie in George and Nina's care.

Meanwhile, Nina and Annie are moving along in their simultaneous pregnancies and need around the clock care from George. Matty and Franck take over when George is away at work. Franck turns a simple redecoration of Nina and George's new baby's nursery into a full-scale renovation/addition, which he affectionately calls, 'the baby's suite'. Eventually, all the stress and nights of sleep deprivation wear George out. When 'the baby's suite' is revealed, Franck offers George some sleeping pills from his native country called 'Vatsnik' after George tells him that he has not been getting enough sleep. George takes two pills which proves to be too high of a dosage and suddenly passes out before dinner. The family becomes worried, which is only increased when Annie finally goes into labor.

Franck takes over the role of driving the family to the hospital with a barely coherent George in tow. After being mistaken for a patient in need of a prostate exam, George finally regains full consciousness. Nina goes into labor shortly after they arrive at the hospital. George is initially cynical about the female obstetrician who fills in because their own is unavailable. Despite wanting his grandchild to be delivered by the same doctor who delivered his children, George comes to terms with the arrangement. Bryan soon returns to be with Annie, who gives birth to a baby boy, while Nina at the same moment gives birth to a baby girl, named George and Megan, respectively. As George holds his grandson and daughter in his arms, he says, ""Life doesn't get any better than this."" George finishes telling the story about Nina and Annie's pregnancies. Bryan and Annie then move to Boston with baby George, because Annie took a job there. The film concludes with George standing on the road in front of his house, admiring it with Megan by his side. As he completes the story, he begins walking up the driveway, telling Megan about all the basketball tricks he will teach her.
",True,30000000,76600000,46600000,True,https://en.wikipedia.org/wiki/Father_of_the_Bride_Part_II
949,en,Heat,"Neil McCauley is a professional thief based in Los Angeles. He and his crew – right hand man Chris Shiherlis, enforcer Michael Cheritto, driver Gilbert Trejo, and newly hired hand Waingro – rob $1.6 million in bearer bonds from an armored car. During the heist, Waingro kills a guard without provocation. McCauley kills a second guard who attempts to pull out his concealed weapon, and Cheritto kills the third guard so as to not leave any witnesses. Later, McCauley prepares to kill Waingro for causing the deaths of the three guards, but he escapes.

LAPD Lieutenant Vincent Hanna and his team investigate the robbery. Hanna, a dedicated lawman and former Marine, has a strained relationship with his third wife Justine, and struggles to connect with his stepdaughter, Lauren. 

McCauley follows a code: ""allow nothing to be in your life that you cannot walk out on in 30 seconds flat if you spot the heat around the corner."" While at a restaurant, McCauley meets Eady, a young graphic designer with whom he begins a relationship.

McCauley's fence, Nate, suggests he sell the stolen bonds back to their original owner, money launderer Roger Van Zant. Van Zant pretends to agree but instead arranges an ambush. Anticipating a trap, McCauley and his crew counter-ambush, kill the hitmen, and vow to kill Van Zant. Waingro murders a prostitute; Hanna's team investigates, discovering evidence that links it to the murder of other prostitutes, victims of a serial killer. An informant of the LAPD connects Cheritto to the robbery, and Hanna's team begins monitoring him, leading to the rest of the crew and their next target, a precious metals depository. Hanna's team stakes out the depository, but when a careless officer makes a noise, McCauley has his crew walk off the job.

McCauley's crew agree to one last bank robbery worth $12.2 million. Hanna tracks McCauley and pulls him over on the 105 Freeway, inviting him to coffee. They discuss their dedication to their respective jobs and the limitations of their personal lives; Hanna describes his failing marriage and McCauley confides that he is similarly isolated. Though they admit their respect for one another, both acknowledge that they will kill the other if necessary. Waingro makes a deal with Van Zant to help eliminate McCauley's crew. Trejo quits the bank robbery at the last moment, claiming the LAPD is following him too closely. McCauley recruits an old colleague, Don Breedan, to take Trejo's place as the getaway driver, and the crew carries out the heist.

Acting on a tip from Van Zant's bodyguard, the LAPD intercepts the crew as they leave the bank, resulting in a massive shootout during which Breedan and Detective Bosko are killed. McCauley manages to escape with a wounded Shiherlis. Cheritto attempts to flee, but is shot dead by Hanna. After leaving Shiherlis with Nate, McCauley arrives at Trejo's house to find him mortally wounded and his wife killed. Trejo reveals Waingro and Van Zant's involvement before asking McCauley to kill him. McCauley breaks into Van Zant's mansion and shoots him dead. Upon learning of McCauley's connection to Waingro and discovering that Waingro is hiding at a hotel, Hanna's unit decides to use him as bait to lure McCauley. As McCauley prepares to flee the country, Eady discovers his criminal identity, but agrees to go with him. Before escaping, Shiherlis attempts to reconcile with his wife Charlene, who has been forced by the LAPD to bring in her husband. He encounters her at her hotel, she warns him away with a hand gesture, and he escapes.

Having separated from Justine, Hanna finds Lauren has attempted suicide in his own hotel room and rushes her to the hospital; he reconciles with Justine after they learn that Lauren has survived. McCauley drives to the airport with Eady, but he learns Waingro's location and abandons his usual caution to seek revenge. McCauley infiltrates the hotel, pulls the fire alarm, bursts into Waingro's room and kills him. As McCauley returns to Eady, he is spotted by Hanna. McCauley abandons Eady, fleeing onto the tarmac at the Los Angeles International Airport, pursued by Hanna. The two stalk each other, and Hanna shoots McCauley in the chest. Hanna takes McCauley's hand as McCauley dies of his wounds.
",True,60000000,187400000,127400000,True,https://en.wikipedia.org/wiki/Heat_(1995_film)
11860,en,Sabrina,"Sabrina Fairchild is the young daughter of the Larrabee family's chauffeur, Thomas, and has been in love with David Larrabee all her life. David is a playboy, constantly falling in love, yet he has never noticed Sabrina, much to her dismay.

Sabrina travels to Paris for a fashion internship at Vogue and returns to the Larrabee estate as an attractive, sophisticated woman. David, after initially not recognizing her, is quickly drawn to her despite being newly engaged to Elizabeth Tyson, a doctor whose father is a business magnate.

David's workaholic elder brother Linus fears that David's imminent wedding to the very suitable Elizabeth might be endangered. If the wedding were to be canceled, so would a lucrative merger with the bride's family business, Tyson Electronics, run by her father Patrick. This could cost the Larrabee Corporation, run by Linus and his mother Maude, over a billion dollars.

After Linus manipulates David into sitting on champagne glasses in his back pocket, resulting in injuries that require David to be on painkillers, Linus redirects Sabrina's affections to himself in order to keep David's wedding on track. Sabrina falls in love with Linus, even though she quotes others as calling him ""the world's only living heart donor"" and someone who ""thinks that morals are paintings on walls and scruples are money in Russia."" In the process, Linus falls in love with Sabrina, surprising himself.

Unwilling to admit his feelings, Linus confesses his scheme to Sabrina at the last minute and sends her back to Paris. Before she gets on the plane to Paris, her father informs her that over the years of chauffeuring the father of David and Linus, the partition was always open in the car and he was able to listen to the senior Mr. Larrabee's business dealings. When Mr. Larrabee bought stock, the chauffeur would buy too, and when Mr. Larrabee sold, the chauffeur would also sell. He then reveals that this has allowed him to amass personal wealth of over $2 million, although he continued to work as a chauffeur since he had a happy home and situation for the family. He is now able to give Sabrina the life that he and her late mother dreamed of for her.

Meanwhile, Linus finally realizes his true feelings for Sabrina. He is induced to follow her to Paris by chiding from his mother and an unexpectedly grown-up and responsible David, who steps into his shoes at the Larrabee Corporation with detailed plans for the merger with Tyson. Linus arrives in Paris and reunites with Sabrina, revealing his love to her and kissing her.
",True,54000000,87100000,33100000,True,https://en.wikipedia.org/wiki/Sabrina_(1995_film)
45325,en,Tom and Huck,"One dark stormy night, Injun Joe goes to meet Doctor Jonas Robinson for some shady business. Meanwhile, a young boy name Tom Sawyer runs away from home with his friends to become steamboat men. This ultimately fails as their raft collides on a rock in the Mississippi River, throwing Tom into the water. His friends find him washed up on the shore, and Tom finds it was Huck Finn who carried him to safety. Tom later meets Huck discovering an unusual way to remove warts - by taking a dead cat to the graveyard at night. There they witness Injun Joe and Muff Potter, the town drunk, digging up the grave of Vic ""One-Eyed"" Murrell for Doctor Robinson. A treasure map is discovered and Doc assaults Muff and Injun Joe in an attempt to take it for himself. Doc manages to knock out Muff, but Injun Joe fights back by fatally stabbing Doc with Muff's knife.

The next morning, Muff is charged for the murder. Tom and Huck had signed an oath saying that if either of them came forward about it, they would drop dead and rot. The boys embark on a search for the treasure map Injun Joe has, so they can declare Muff innocent while preserving their oath. Eventually however, Joe finds the lost treasure and asks his partner to hide the treasure in a cave before burning the map. With the only evidence to prove Muff's innocence destroyed, Tom and Huck's friendship starts to decline, and Huck eventually leaves Hannibal. Joe then discovers that Tom was a witness to the crime. He finds Tom and threatens he will kill him if he ever tells anyone about the murder. 

At Muff Potter's trial, Tom decides that his friendship with Muff is more important than his oath with Huck and exposes the truth. Injun Joe, in fury, unsuccessfully attempts to kill Tom before leaving Hannibal. The townspeople declare Tom as a hero for his bravery and plans to throw a festival to commemorate the occasion. Tom, however, knowing Joe is after him, refuses to attend. Huck later sneaks into Tom's bedroom one night, criticizing Tom for breaking their oath before leaving town again.

The next day during the festival, a group of children, including Tom and his love interest Becky Thatcher, enter the caves, where Tom and Becky become lost. Meanwhile, the judge is alerted by the sheriff that Joe ended up killing one of his partners. Huck, who secretly attends the festival, overhears all this and goes after Tom. They eventually stumble upon Injun Joe in McDougal's Cave. He traps them, but Tom and Becky manage to escape. Tom later discovers the spot where Joe hid his treasure. He then finds an opening in the cave and asks Becky to get her father.

Injun Joe ultimately finds Tom and attempts to kill him before Huck suddenly shows up. After a brief struggle, Injun Joe easily overpowers Huck. Just as Joe is about to land a finishing blow, Tom quietly empties the contents from the treasure chest and threatens Joe by throwing the treasure chest over a chasm. Injun Joe then tries to get the chest from Tom, only to fall into the chasm to his death. The boys reconcile as they claim Joe's treasure and are declared heroes by the people. Tom is praised on the front page of the newspaper, and Widow Douglas adopts Huck Finn.
",True,NA,23900000,NA,False,https://en.wikipedia.org/wiki/Tom_and_Huck_(1995_film)
9091,en,Sudden Death,"Darren McCord is a French Canadian-born firefighter for the Pittsburgh Bureau of Fire now serving as the fire marshal for the Pittsburgh Civic Arena, after being unable to save a young girl from a house fire two years prior. During the 1995 Stanley Cup Finals between the Pittsburgh Penguins and the Chicago Blackhawks (a fictional rematch of the 1992 Stanley Cup Finals), a group of terrorists take the Vice President of the United States and several other VIPs hostage in a luxury suite. Secret Service operative Joshua Foss has the arena wired with explosives, and plans to blow it up at the end of the game, while having hundreds of millions of dollars wired into several off shore accounts.

Darren takes his son Tyler and daughter Emily to Game 7 of the Stanley Cup Finals as a birthday gift for Tyler. A spat between brother and sister causes Emily to run off before getting kidnapped by Carla, the sole female member of the terrorists (who is disguised as the local mascot Iceburgh after killing the original performer). Carla places Emily in the suite with the other hostages about to be executed. Not wanting his son to go missing, Darren orders Tyler to stay in his seat while he goes searching for Emily. Carla is about to kill Darren, but he evades her attacks in a fight and kills her. Afterward, Darren asks for a security guard's help, but the guard is another terrorist in disguise and reveals their criminal operation before being killed by Darren. Now aware of the situation, Darren finds a mobile phone in the executive offices and uses it to contact Secret Service Agent Matthew Hallmark; Hallmark advises Darren to stand by while the agents take charge. He angrily refuses, saying that he will handle this himself.

The Secret Service and the Pittsburgh Bureau of Police team up to surround the arena and a standoff ensues. Meanwhile, Darren manages to find and disarm a few of the bombs (as well as killing and evading a few of Foss' men), whilst Foss himself kills several hostages after the end of the first and second periods. Hallmark finally makes his way inside and meets Darren, who explains where the rest of the bombs are most likely located. Hallmark is revealed to be in league with Foss, and tries to kidnap Tyler, but fails. Hallmark then reveals his true self to Darren, who sets him on fire and ultimately kills him. Darren then uses Hallmark's phone to contact Foss, who taunts that he is holding his daughter captive.

As time ticks down, Darren disables more bombs, but is severely slowed by confrontations with Foss' men. At one point, Darren, dressed as the Pittsburgh goalie to escape the thugs, enters the game and successfully defends a shot on goal. As the third period runs down, Luc Robitaille scores the game-tying goal for Pittsburgh in the last second, prompting sudden death overtime and prolonging the game. Deciding that there's no time left to find the remaining bombs, Darren climbs to the roof of the arena. He fights off two of Foss' henchmen; one of them falls onto the score display, blowing it up. As the arena erupts into chaos, Darren advances upon the owner's box from above and forces his way in, rescuing Emily, the Vice President and the remaining hostages. Darren and Emily reunite with Tyler and set out to leave the arena.

Foss manages to escape and blend in with the panicking crowd. He sets off one of the bombs, flooding part of the arena, and recaptures Emily when she recognizes him. They head towards the top of the arena, where a helicopter is waiting to lift Foss away. Darren intervenes and saves his daughter before Foss could shoot her. As Foss attempts to flee, Darren shoots the pilot, causing the chopper to stall and fall into the arena, sending a screaming Foss to his death as the chopper explodes on impact with the ice. Darren is led to an awaiting medic unit while his children tell the paramedics of his heroism.
",True,35000000,64400000,29400000,True,https://en.wikipedia.org/wiki/Sudden_Death_(1995_film)
710,en,GoldenEye,"In 1986, MI6 agents James Bond and Alec Trevelyan infiltrate a Soviet chemical weapons facility called Arkangel. While Trevelyan is caught and killed by the facility's commanding officer, Colonel Arkady Grigorovich Ourumov, Bond destroys the site and escapes.

Nine years later, following the dissolution of the Soviet Union, Bond attempts to prevent Xenia Onatopp, a member of the Janus crime syndicate, from stealing a Eurocopter Tiger attack helicopter during a military demonstration in Monte Carlo, but is unsuccessful. Returning to MI6 Headquarters in London, Bond oversees MI6 staff monitoring an incident in Severnaya, Siberia, after the stolen helicopter turns up at a radar facility there. An electromagnetic pulse blast suddenly hits the site, destroying it and Russian fighter aircraft, while knocking out some satellite systems in orbit above.

The newly appointed M assigns Bond to investigate, after it is determined the blast came from a Soviet-era satellite armed with a nuclear electromagnetic pulse space-based weapon, codenamed ""GoldenEye"". Although Janus is suspected of initiating the attack, Bond suspects Ourumov, now a general, was involved because the weapon system required high-level military access. Travelling to Saint Petersburg, Bond is advised by his CIA contact Jack Wade to meet the former KGB agent turned gangster Valentin Zukovsky and have him arrange a meeting with Janus. Escorted to the meeting by Onatopp, Bond discovers that Janus is led by Trevelyan, who had faked his death at Arkangel. He learns that Trevelyan seeks vengeance for his parents: Lienz Cossacks who were betrayed by the British by being repatriated to the Soviet Union after collaborating with the Axis powers during World War II.

Bond is sedated and trapped in the stolen Tiger alongside Natalya Simonova, a survivor of the Severnaya attack. After escaping the helicopter's destruction, the pair are taken into custody and interrogated by Russian Minister of Defence Dimitri Mishkin. The heated argument between the men leads Natalya to affirm Ourumov's involvement in the use of GoldenEye, and that fellow programmer Boris Grishenko survived along with her and is now working for Janus in operating a second GoldenEye satellite. Before Mishkin can act on the information, Ourumov kills him and captures Natalya. Commandeering a tank, Bond pursues Ourumov to a missile train used by Janus. He kills Ourumov and escapes the train with Natalya before it explodes.

Bond and Natalya travel to Cuba, after Boris is traced to a location within the island's jungles. While flying over the area, the pair are shot down. Onatopp is lowered from a helicopter and attacks them, but Bond destroys the helicopter and kills her. The pair uncover a hidden base beneath a large lake, concealing a satellite dish. Bond is captured while trying to rig the base to explode, and learns from Trevelyan that he intends to use GoldenEye to devastate London to conceal the theft of financial records from the Bank of England. Natalya hacks into the satellite and reprograms it to initiate atmospheric re-entry and thus destroy itself. She is then captured as well. While trying to undo her programming, Boris nervously presses on a pen confiscated from Bond, activating a grenade concealed in the pen by Q Branch. Bond knocks the pen from Boris's hand and into a puddle of chemicals that were spilled during an earlier firefight, causing a chemical explosion that allows Bond and Natalya to escape.

To prevent Boris from regaining control of the satellite, Bond sabotages the dish's antenna by jamming its gears. Trevelyan tries to intercept him, and the ensuing fight between the two culminates in Trevelyan being dangled below the antenna. When Trevelyan asks Bond if he is killing him for England, Bond admits it is for himself, before dropping Trevelyan into the bottom of the dish. The GoldenEye satellite is subsequently destroyed. Natalya soon rescues Bond in a commandeered helicopter, moments before the antenna malfunctions and explodes, destroying the base and killing its personnel, with Trevelyan killed by falling debris and Boris killed by ruptured liquid nitrogen canisters. After landing in a meadow, Bond and Natalya prepare to enjoy some solitude together, but are interrupted by the arrival of Wade and a team of U.S. Marines, who escort them to Guantanamo.
",True,60000000,356400000,296400000,True,https://en.wikipedia.org/wiki/GoldenEye_(film)
